,Year (Gregorian),Year (Hijri),Province,Education Department,Education_Office,Authority,Educational_Level,School_Type,School_Gender,School_System,Total_Classes,Total_Students,Total_Saudi_Students,New_Students,New_Saudi_Students,Total_Teachers,Total_Saudi_Teachers,Total_AdmInistrators,Total_Saudi_AdmInistrators,Total_Servants,Total_Workers,Total_Foreign_Students,Total_Foreign_Teachers,Students Per Class
0,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Hajrah Education Office,Public,Elementary,Adult Education ,Boys,General system,4,25,21,0,0,0,0,0,0,0,0,4,0,6.0
1,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Hajrah Education Office,Public,Elementary,Religious (Koranic),Boys,General system,6,50,44,9,8,9,9,0,0,0,0,6,0,8.0
2,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Hajrah Education Office,Public,Elementary,Special education,Boys,General system,4,4,4,2,2,1,1,0,0,0,0,0,0,1.0
3,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Hajrah Education Office,Public,Elementary,Day,Boys,General system,81,822,818,152,152,162,162,5,5,0,0,4,0,10.0
4,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Hajrah Education Office,Public,High,Special education,Boys,General system,2,5,5,2,2,2,2,0,0,0,0,0,0,2.0
5,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Hajrah Education Office,Public,High,Adult Education ,Boys,General system,3,69,69,5,5,0,0,0,0,0,0,0,0,23.0
6,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Hajrah Education Office,Public,High,Day,Boys,General system,12,270,265,60,60,44,44,4,4,0,0,5,0,22.0
7,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Hajrah Education Office,Public,High,Day,Boys,Course system,18,169,167,81,79,27,27,0,0,0,0,2,0,9.0
8,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Hajrah Education Office,Public,Middle,Religious (Koranic),Boys,General system,3,28,27,8,8,9,9,0,0,0,0,1,0,9.0
9,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Hajrah Education Office,Public,Middle,Special education,Boys,General system,3,5,5,4,4,2,2,0,0,0,0,0,0,2.0
10,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Hajrah Education Office,Public,Middle,Day,Boys,General system,21,390,389,109,109,62,62,1,1,0,0,1,0,19.0
11,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Private,KIndergarten,Day,Girls,General system,8,144,143,17,17,9,9,1,1,0,0,1,0,18.0
12,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Elementary,Adult Education ,Girls,General system,11,95,91,38,36,0,0,0,0,0,0,4,0,9.0
13,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Elementary,Religious (Koranic),Girls,General system,18,277,260,52,52,31,31,22,22,0,0,17,0,15.0
14,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Elementary,Special education,Girls,General system,11,19,19,5,5,14,14,0,0,0,0,0,0,2.0
15,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Elementary,Day,Girls,General system,194,2567,2430,421,406,341,341,265,265,9,8,137,0,13.0
16,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,High,Religious (Koranic),Girls,General system,3,76,70,31,28,8,8,5,5,0,0,6,0,25.0
17,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,High,Adult Education ,Girls,General system,1,11,11,0,0,0,0,0,0,0,0,0,0,11.0
18,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,High,Day,Girls,General system,31,660,652,147,147,86,86,36,36,2,0,8,0,21.0
19,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,High,Day,Girls,Course system,24,653,623,328,314,56,56,7,7,1,0,30,0,27.0
20,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Middle,Religious (Koranic),Girls,General system,6,132,126,43,40,19,19,12,12,0,0,6,0,22.0
21,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Middle,Special education,Girls,General system,2,15,15,0,0,0,0,0,0,0,0,0,0,8.0
22,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Middle,Day,Girls,General system,66,1221,1172,411,399,182,182,68,68,2,0,49,0,18.0
23,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,KIndergarten,Day,Girls,General system,42,544,524,17,15,38,38,89,89,2,2,20,0,13.0
24,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Elementary,Religious (Koranic),Girls,General system,6,98,93,16,14,11,11,6,6,0,0,5,0,16.0
25,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Elementary,Religious (Koranic),Boys,General system,6,77,73,20,19,12,12,1,1,0,0,4,0,13.0
26,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Elementary,Special education,Girls,General system,3,3,3,0,0,2,2,0,0,0,0,0,0,1.0
27,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Elementary,Special education,Boys,General system,7,11,11,1,1,4,4,0,0,0,0,0,0,2.0
28,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Elementary,Day,Girls,General system,60,793,790,139,138,90,90,32,32,2,1,3,0,13.0
29,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Elementary,Day,Boys,General system,64,804,801,134,134,112,112,8,8,0,1,3,0,13.0
30,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,High,Special education,Boys,General system,3,5,5,1,1,0,0,0,0,0,0,0,0,2.0
31,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,High,Day,Girls,General system,9,211,210,48,48,13,13,0,0,0,0,1,0,23.0
32,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,High,Day,Girls,Course system,10,251,250,98,98,25,25,6,6,0,1,1,0,25.0
33,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,High,Day,Boys,General system,6,141,141,0,0,33,33,0,0,0,0,0,0,24.0
34,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,High,Day,Boys,Course system,17,301,298,149,147,27,27,0,0,0,0,3,0,18.0
35,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Middle,Religious (Koranic),Girls,General system,3,47,46,17,16,9,9,2,2,0,0,1,0,16.0
36,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Middle,Religious (Koranic),Boys,General system,3,43,41,16,15,11,11,1,1,0,0,2,0,14.0
37,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Middle,Special education,Boys,General system,2,2,2,1,1,0,0,0,0,0,0,0,0,1.0
38,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Middle,Adult Education ,Girls,General system,1,3,3,3,3,0,0,0,0,0,0,0,0,3.0
39,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Middle,Day,Girls,General system,27,403,402,150,149,83,83,6,6,2,0,1,0,15.0
40,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,Middle,Day,Boys,General system,20,391,391,128,128,51,51,2,2,0,0,0,0,20.0
41,2018,1439,Al Baha,Education Department  Al Makhwah ,Education Office In Ghamid  Al-Znad,Public,KIndergarten,Day,Girls,General system,8,108,108,0,0,8,8,10,10,0,0,0,0,14.0
42,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Private,Elementary,Day,Girls,General system,3,29,28,11,10,4,4,0,0,0,0,1,0,10.0
43,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Private,KIndergarten,Day,Girls,General system,3,47,47,3,3,3,2,1,1,0,0,0,1,16.0
44,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Elementary,Adult Education ,Girls,General system,8,75,75,58,58,0,0,0,0,0,0,0,0,9.0
45,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Elementary,Adult Education ,Boys,General system,5,15,10,5,1,0,0,0,0,0,0,5,0,3.0
46,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Elementary,Religious (Koranic),Girls,General system,15,238,220,40,36,31,31,19,19,2,1,18,0,16.0
47,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Elementary,Religious (Koranic),Boys,General system,18,205,194,36,34,28,28,2,2,0,0,11,0,11.0
48,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Elementary,Special education,Girls,General system,9,15,15,1,1,7,7,0,0,0,0,0,0,2.0
49,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Elementary,Special education,Boys,General system,11,22,22,2,2,8,8,0,0,0,0,0,0,2.0
50,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Elementary,Day,Girls,General system,162,1913,1875,314,307,315,315,136,136,11,0,38,0,12.0
51,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Elementary,Day,Boys,General system,177,1957,1915,300,293,312,312,19,19,3,4,42,0,11.0
52,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,High,Religious (Koranic),Girls,General system,3,53,53,17,17,8,8,2,2,0,0,0,0,18.0
53,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,High,Religious (Koranic),Boys,General system,3,53,53,20,20,2,2,0,0,0,0,0,0,18.0
54,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,High,Special education,Boys,General system,3,9,9,6,6,1,1,0,0,0,0,0,0,3.0
55,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,High,Adult Education ,Boys,General system,6,39,39,11,11,0,0,0,0,0,0,0,0,6.0
56,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,High,Day,Girls,General system,16,486,486,124,124,47,47,8,8,0,0,0,0,30.0
57,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,High,Day,Girls,Course system,26,425,415,204,199,30,30,13,13,0,0,10,0,16.0
58,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,High,Day,Boys,General system,14,264,262,0,0,39,39,3,3,0,0,2,0,19.0
59,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,High,Day,Boys,Course system,43,698,682,340,331,56,56,2,2,0,0,16,0,16.0
60,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Middle,Religious (Koranic),Girls,General system,6,112,106,37,35,23,23,5,5,1,0,6,0,19.0
61,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Middle,Religious (Koranic),Boys,General system,6,99,93,36,35,24,24,1,1,0,0,6,0,16.0
62,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Middle,Special education,Boys,General system,4,9,9,3,3,2,2,0,0,0,0,0,0,2.0
63,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Middle,Day,Girls,General system,36,873,856,282,279,108,108,34,33,0,0,17,0,24.0
64,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,Middle,Day,Boys,General system,50,965,949,317,312,136,136,5,5,0,0,16,0,19.0
65,2018,1439,Al Baha,Education Department  Al Makhwah ,Qilwah Education Office,Public,KIndergarten,Day,Girls,General system,43,432,414,27,25,28,28,37,36,2,0,18,0,10.0
66,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Elementary,Adult Education ,Boys,General system,7,34,30,9,6,0,0,0,0,0,0,4,0,5.0
67,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Elementary,Religious (Koranic),Boys,General system,20,302,273,52,47,36,36,3,3,0,0,29,0,15.0
68,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Elementary,Special education,Boys,General system,9,13,13,0,0,7,7,0,0,0,0,0,0,1.0
69,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Elementary,Day,Boys,General system,189,2670,2538,425,405,348,348,24,23,4,4,132,0,14.0
70,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,High,Religious (Koranic),Boys,General system,3,56,56,20,20,8,8,1,1,0,0,0,0,19.0
71,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,High,Special education,Boys,General system,6,12,12,2,2,3,3,0,0,0,0,0,0,2.0
72,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,High,Adult Education ,Boys,General system,9,174,174,53,53,0,0,0,0,0,0,0,0,19.0
73,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,High,Day,Boys,General system,15,364,361,31,31,59,59,2,2,1,1,3,0,24.0
74,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,High,Day,Boys,Course system,55,782,749,354,336,87,87,6,6,1,0,33,0,14.0
75,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Middle,Religious (Koranic),Boys,General system,9,140,125,38,33,20,20,1,1,0,0,15,0,16.0
76,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Middle,Special education,Boys,General system,8,12,12,4,4,3,3,0,0,0,0,0,0,2.0
77,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Middle,Adult Education ,Boys,General system,12,86,86,17,17,0,0,0,0,0,0,0,0,7.0
78,2018,1439,Al Baha,Education Department  Al Makhwah ,Al-Makhwah Education Office,Public,Middle,Day,Boys,General system,60,1127,1072,406,386,153,153,9,9,0,0,55,0,19.0
79,2018,1439,Al Baha,Education Department  Al Makhwah ,Hajrah Supervisory Services Office,Public,Elementary,Religious (Koranic),Girls,General system,6,67,66,15,15,8,8,1,1,0,0,1,0,11.0
80,2018,1439,Al Baha,Education Department  Al Makhwah ,Hajrah Supervisory Services Office,Public,Elementary,Special education,Girls,General system,3,4,4,2,2,1,1,0,0,0,0,0,0,1.0
81,2018,1439,Al Baha,Education Department  Al Makhwah ,Hajrah Supervisory Services Office,Public,Elementary,Day,Girls,General system,82,788,782,132,132,104,104,39,39,3,0,6,0,10.0
82,2018,1439,Al Baha,Education Department  Al Makhwah ,Hajrah Supervisory Services Office,Public,High,Day,Girls,General system,15,316,316,106,106,31,31,3,3,0,0,0,0,21.0
83,2018,1439,Al Baha,Education Department  Al Makhwah ,Hajrah Supervisory Services Office,Public,High,Day,Girls,Course system,4,162,160,58,57,18,18,4,4,0,0,2,0,40.0
84,2018,1439,Al Baha,Education Department  Al Makhwah ,Hajrah Supervisory Services Office,Public,Middle,Religious (Koranic),Girls,General system,3,26,26,8,8,8,8,1,1,0,0,0,0,9.0
85,2018,1439,Al Baha,Education Department  Al Makhwah ,Hajrah Supervisory Services Office,Public,Middle,Day,Girls,General system,21,370,369,134,134,50,50,5,5,1,0,1,0,18.0
86,2018,1439,Al Baha,Education Department  Al Makhwah ,Hajrah Supervisory Services Office,Public,KIndergarten,Day,Girls,General system,15,204,202,3,3,15,15,10,10,0,0,2,0,14.0
87,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Private,Elementary,Day,Boys,General system,5,7,5,3,3,1,1,1,1,0,0,2,0,1.0
88,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Private,High,Day,Boys,General system,5,118,112,22,21,10,5,0,0,0,0,6,5,24.0
89,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Private,Middle,Day,Boys,General system,3,9,8,4,3,4,3,0,0,0,0,1,1,3.0
90,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Public,Elementary,Adult Education ,Boys,General system,2,11,10,4,3,0,0,0,0,0,0,1,0,6.0
91,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Public,Elementary,Religious (Koranic),Boys,General system,12,131,97,27,20,20,20,3,3,0,0,34,0,11.0
92,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Public,Elementary,Special education,Boys,General system,12,19,19,6,6,11,11,0,0,0,0,0,0,2.0
93,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Public,Elementary,Day,Boys,General system,211,2942,2703,468,437,369,369,43,43,1,10,239,0,14.0
94,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Public,High,Religious (Koranic),Boys,General system,3,31,23,10,6,7,7,2,2,0,0,8,0,10.0
95,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Public,High,Special education,Boys,General system,4,9,9,3,3,2,2,0,0,0,0,0,0,2.0
96,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Public,High,Day,Boys,General system,20,400,371,127,119,65,65,9,9,0,0,29,0,20.0
97,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Public,High,Day,Boys,Course system,145,635,567,293,263,61,61,9,9,0,0,68,0,4.0
98,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Public,Middle,Religious (Koranic),Boys,General system,6,86,60,24,17,16,16,0,0,0,0,26,0,14.0
99,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Public,Middle,Special education,Boys,General system,4,10,10,3,3,11,11,0,0,0,0,0,0,2.0
100,2018,1439,Al Baha,Education Department In Al-Baha,Baljurashi Education Office ,Public,Middle,Day,Boys,General system,57,1270,1173,424,394,160,160,17,17,1,3,97,0,22.0
101,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Elementary,Adult Education ,Girls,General system,12,120,119,47,46,0,0,0,0,0,0,1,0,10.0
102,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Elementary,Adult Education ,Boys,General system,4,36,36,12,12,0,0,0,0,0,0,0,0,9.0
103,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Elementary,Religious (Koranic),Girls,General system,12,238,234,46,45,24,24,6,6,0,0,4,0,20.0
104,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Elementary,Religious (Koranic),Boys,General system,24,294,270,55,50,38,38,1,1,1,0,24,0,12.0
105,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Elementary,Special education,Girls,General system,8,20,20,1,1,8,8,1,1,1,0,0,0,2.0
106,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Elementary,Special education,Boys,General system,8,24,24,2,2,13,13,0,0,0,0,0,0,3.0
107,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Elementary,Day,Girls,General system,120,2234,2106,389,369,227,227,47,47,19,7,128,0,19.0
108,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Elementary,Day,Boys,General system,128,2100,2012,342,331,230,230,15,14,1,4,88,0,16.0
109,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,High,Religious (Koranic),Girls,General system,3,30,30,7,7,10,10,1,1,2,0,0,0,10.0
110,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,High,Religious (Koranic),Boys,General system,3,48,45,12,12,6,6,1,1,0,0,3,0,16.0
111,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,High,Special education,Girls,General system,3,4,4,1,1,3,3,0,0,0,0,0,0,1.0
112,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,High,Special education,Boys,General system,4,13,13,4,4,3,3,0,0,0,0,0,0,3.0
113,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,High,Day,Girls,General system,26,692,686,168,168,78,78,10,10,3,0,6,0,27.0
114,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,High,Day,Girls,Course system,15,400,386,225,217,36,36,8,8,0,1,14,0,27.0
115,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,High,Day,Boys,General system,19,472,465,124,123,66,66,3,3,0,1,7,0,25.0
116,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,High,Day,Boys,Course system,149,394,375,215,204,51,51,2,2,0,0,19,0,3.0
117,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Middle,Religious (Koranic),Girls,General system,4,81,81,31,31,9,9,2,2,0,0,0,0,20.0
118,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Middle,Religious (Koranic),Boys,General system,6,105,100,42,42,20,20,0,0,0,0,5,0,18.0
119,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Middle,Special education,Girls,General system,3,8,8,1,1,1,1,0,0,0,0,0,0,3.0
120,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Middle,Special education,Boys,General system,2,5,5,4,4,4,4,0,0,0,0,0,0,2.0
121,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Middle,Day,Girls,General system,41,1063,1024,350,335,109,109,17,17,6,0,39,0,26.0
122,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,Middle,Day,Boys,General system,40,930,901,289,279,98,98,3,3,0,1,29,0,23.0
123,2018,1439,Al Baha,Education Department In Al-Baha,Al-Aqiq Education Office,Public,KIndergarten,Day,Girls,General system,35,502,502,15,15,42,42,15,14,3,7,0,0,14.0
124,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Elementary,Adult Education ,Girls,General system,3,46,46,0,0,0,0,0,0,0,0,0,0,15.0
125,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Elementary,Religious (Koranic),Girls,General system,18,178,171,29,29,31,31,3,3,2,0,7,0,10.0
126,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Elementary,Religious (Koranic),Boys,General system,11,61,56,14,13,19,19,2,2,0,0,5,0,6.0
127,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Elementary,Special education,Girls,General system,3,4,4,1,1,6,6,0,0,0,0,0,0,1.0
128,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Elementary,Special education,Boys,General system,6,9,9,0,0,9,9,0,0,0,0,0,0,2.0
129,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Elementary,Day,Girls,General system,105,1118,1090,177,175,209,209,41,41,15,7,28,0,11.0
130,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Elementary,Day,Boys,General system,141,1292,1261,196,193,238,238,17,17,1,3,31,0,9.0
131,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,High,Special education,Girls,General system,1,3,3,0,0,0,0,0,0,0,0,0,0,3.0
132,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,High,Special education,Boys,General system,3,10,10,2,2,1,1,0,0,0,0,0,0,3.0
133,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,High,Day,Girls,General system,40,477,468,138,133,144,144,15,15,4,3,9,0,12.0
134,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,High,Day,Girls,Course system,3,71,71,71,71,0,0,0,0,0,0,0,0,24.0
135,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,High,Day,Boys,General system,11,176,176,66,66,31,31,3,3,0,0,0,0,16.0
136,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,High,Day,Boys,Course system,18,345,331,132,127,56,56,2,2,0,0,14,0,19.0
137,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Middle,Religious (Koranic),Girls,General system,6,57,57,20,20,26,26,1,1,0,0,0,0,10.0
138,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Middle,Religious (Koranic),Boys,General system,2,8,8,0,0,10,10,0,0,0,0,0,0,4.0
139,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Middle,Special education,Girls,General system,1,1,1,0,0,3,3,0,0,0,0,0,0,1.0
140,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Middle,Special education,Boys,General system,4,9,9,4,4,7,7,0,0,0,0,0,0,2.0
141,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Middle,Day,Girls,General system,33,544,531,195,186,115,115,15,15,3,0,13,0,16.0
142,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,Middle,Day,Boys,General system,27,583,567,212,207,89,89,10,10,1,2,16,0,22.0
143,2018,1439,Al Baha,Education Department In Al-Baha,Al-Qara Education Office,Public,KIndergarten,Day,Girls,General system,45,508,505,30,30,47,47,16,16,7,5,3,0,11.0
144,2018,1439,Al Baha,Education Department In Al-Baha,Al-Mandaq Education Office,Public,Elementary,Adult Education ,Girls,General system,5,62,61,27,26,0,0,0,0,0,0,1,0,12.0
145,2018,1439,Al Baha,Education Department In Al-Baha,Al-Mandaq Education Office,Public,Elementary,Adult Education ,Boys,General system,2,12,11,0,0,0,0,0,0,0,0,1,0,6.0
146,2018,1439,Al Baha,Education Department In Al-Baha,Al-Mandaq Education Office,Public,Elementary,Religious (Koranic),Girls,General system,24,232,196,46,36,39,39,7,7,0,0,36,0,10.0
147,2018,1439,Al Baha,Education Department In Al-Baha,Al-Mandaq Education Office,Public,Elementary,Religious (Koranic),Boys,General system,18,181,156,31,28,32,32,2,2,0,0,25,0,10.0
148,2018,1439,Al Baha,Education Department In Al-Baha,Al-Mandaq Education Office,Public,Elementary,Special education,Girls,General system,6,15,15,2,2,8,8,0,0,0,0,0,0,2.0
149,2018,1439,Al Baha,Education Department In Al-Baha,Al-Mandaq Education Office,Public,Elementary,Special education,Boys,General system,7,14,14,3,3,10,10,0,0,0,0,0,0,2.0
150,2018,1439,Al Baha,Education Department In Al-Baha,Al-Mandaq Education Office,Public,Elementary,Day,Girls,General system,178,1733,1679,271,262,297,297,64,64,11,13,54,0,10.0
151,2018,1439,Al Baha,Education Department In Al-Baha,Al-Mandaq Education Office,Public,Elementary,Day,Boys,General system,176,1865,1793,315,305,306,306,31,31,0,8,72,0,11.0
152,2018,1439,Al Baha,Education Department In Al-Baha,Al-Mandaq Education Office,Public,High,Religious (Koranic),Girls,General system,3,32,32,9,9,6,6,0,0,0,0,0,0,11.0
153,2018,1439,Al Baha,Education Department In Al-Baha,Al-Mandaq Education Office,Public,High,Religious (Koranic),Boys,General system,1,4,2,0,0,4,4,1,1,0,0,2,0,4.0
